docid,title,text,subject,predicate,object,relation_present,basic_relation,template_relation,llm_relation,llm_clean_gpt51_he_triplet_0s_nc,llm_raw_gpt51_he_triplet_0s_nc,llm_clean_gpt51_he_triplet_5s_nc,llm_raw_gpt51_he_triplet_5s_nc,llm_clean_gpt51_en_triplet_0s_nc,llm_raw_gpt51_en_triplet_0s_nc,llm_clean_gpt51_en_triplet_5s_nc,llm_raw_gpt51_en_triplet_5s_nc
1996729,רחוב נגלינאיה,"רחוב נגלינאיה (ברוסית: Неглинная улица) הוא רחוב במחוז האדמיניסטרטיבי המרכזי של מוסקבה ברובע משצ'אנסקי וטברסקוי. הרחוב נקרא על שם נהר נגלינאיה .
==אתרים ראויים לציון==
* מטה הבנק המרכזי של הפדרציה הרוסית
* מלון אררט פארק הייאט מוסקבה
* מטה שירות המיסים הפדרלי של רוסיה
==גלריה==",מוסקבה,חלוקה משנית,מחוז האדמיניסטרטיבי המרכזי,1,מוסקבה חלוקה משנית מחוז האדמיניסטרטיבי המרכזי,מחוז האדמיניסטרטיבי המרכזי הוא חלוקה משנית של מוסקבה,מוסקבה מחולקת למחוז האדמיניסטרטיבי המרכזי ומחוזות נוספים.,1,כן,1,כן,1,yes,1,yes
1356203,גלנדורה (מיסיסיפי),"גלנדורה (באנגלית Glendora) הוא כפר במיסיסיפי בארצות הברית.
בשנת 2000 היו בכפר 285 תושבים 60 משפחות ו-73 יחידות דיור.
==דמוגרפיה==
== קישורים חיצוניים ==",גלנדורה,מדינה,ארצות הברית,1,גלנדורה מדינה ארצות הברית,המיקום של גלנדורה הוא במדינת ארצות הברית,גלנדורה היא עיר במדינת ארצות הברית.,1,כן,1,כן,1,yes,1,yes
238990,סמל ערב הסעודית,"סמל ערב הסעודית הוא סמלה הרשמי של הממלכה הערבית הסעודית. הסמל מורכב משתי חרבות מוצלבות ועץ דקל. עץ הדקל מסמל את הצמחייה והאופי המדברי של המדינה. 
החרבות מסמלות את ממלכת חג'אז וסולטנות נג'ד שאוחדו לממלכת נג'ד וחג'אז על ידי אבן סעוד.
==היסטוריית סמלים==",הממלכה הערבית הסעודית,סמל מייצג,סמל ערב הסעודית,1,הממלכה הערבית הסעודית סמל מייצג סמל ערב הסעודית,הסמל המייצג של הממלכה הערבית הסעודית הוא סמל ערב הסעודית,הממלכה הערבית הסעודית מיוצגת על ידי סמל ערב הסעודית.,1,כן,1,כן,1,yes,1,yes
358870,אסטי (נפה),"נפת אסטי (באיטלקית: ,Asti.Provincia di Asti) היא אחת הנפות במחוז פיימונטה שבאיטליה, ובירתה בעיר אסטי. שטחה הוא 1,504.5 ק""מ ואוכלוסייתה מנתה 206,265 תושבים בשנת 2004.",נפת אסטי,יחידה מנהלית,פיימונטה,1,נפת אסטי יחידה מנהלית פיימונטה,נפת אסטי היא יחידה מנהלית של פיימונטה,נפת אסטי היא יחידה מנהלית בפיימונטה.,1,כן,1,כן,1,yes,1,yes
631436,אלפראזולאם,"אלפראזולאם (בכתיב לועזי: alprazolam; שמות גנרים: זנאקס, אלפרליד, קסנגיס,: ו-Xanax XR) היא תרופה מקבוצת התרופות נגד חרדה, העלולה לגרום להתמכרות בשימוש ממושך. התרופה מפחיתה חרדה תוך זמן קצר. היא ודומותיה משפיעות באמצעות הגברת פעולת המוליך העצבי GABA שחשוב למניעת תחושת חרדה במצבי דחק והפרעה טורדנית כפייתית (OCD) ופרנויה, וגם עוזרת לאגורפוביה.",אלפרליד,משמש לטיפול ב־,חרדה,1,אלפרליד משמש לטיפול ב־ חרדה,אלפרליד משמש לטיפול ב-חרדה,אלפרליד משמש לטיפול בחרדה.,1,כן,1,כן,1,yes,1,yes
248880,בעבדא,"בַּעַ֫בְּדַא (בערבית: بعبدا) היא בירת מחוז הר לבנון במערב לבנון המשקיפה על הבירה ביירות.
על גבעה בעיר נמצא [[ארמון בעבדא]] (قصر بعبدا), שהוא מעונו הרשמי של נשיא לבנון (לנשיא יש גם מעון קיץ בבית א-דין). עוד נמצאים בעיר משרד ההגנה ומחנות צבא. במקום שכנה בעבר נציגות ישראל בביירות.",בַּעַ֫בְּדַא,מדינה,לבנון,1,בַּעַ֫בְּדַא מדינה לבנון,המיקום של בַּעַ֫בְּדַא הוא במדינת לבנון,בַּעַבְּדַא היא עיירה בלבנון.,1,כן,1,כן,1,yes,1,yes
1017535,פישר פרייס,"פישר פרייס (במקור: Fisher-Price) היא חברה המייצרת צעצועים לפעוטות ולילדים. את החברה הקימו הרמן פישר, הלן של ואירווינג פרייס בשנת 1930 במהלך השפל הגדול. 
מנובמבר 1993 ""פישר פרייס"" היא חברה בת בבעלות מלאה של חברת ""מאטל"". 
בשנת 2004 עמד מחזור המכירות של החברה על סכום של כ-1.9 מיליארד דולר. 
החברה מייצרת, בין השאר, משחקים התפתחותיים שונים המותאמים לשלבי התפתחות התינוק ומשחקי חשיבה לגילאים בוגרים יותר.",פישר פרייס,מופע של,חברה בת,1,פישר פרייס מופע של חברה בת,פישר פרייס הוא סוג של חברה בת,פישר פרייס היא חברה בת.,0,לא,1,כן,0,no,1,yes
638568,ולדימיר זגורובסקי,"ולדימיר זגורובסקי (ברוסית: Владимир Павлович Загоровский; 29 ביוני 1925, רוסיה – 6 בנובמבר 1994) היה שחמטאי רוסי שהצטיין בעיקר בשחמט בהתכתבות. זגורובסקי היה אלוף העולם הרביעי לשחמט בכתב, בין השנים 1965-1962.
בשחמט על גבי הלוח ניצח זגורובסקי באליפות הצבא האדום שהתקיימה במוסקבה בשנת 1951. בתקופה זו מד הכושר שלו נאמד ב-2614.
== קישורים חיצוניים ==
* מאמר על ולדימיר זגורובסקי בעיתון Chessmail",ולדימיר זגורובסקי,שפת אם,רוסית,1,ולדימיר זגורובסקי שפת אם רוסית,שפת האם של ולדימיר זגורובסקי היא רוסית,רוסית היא שפת האם של ולדימיר זגורובסקי.,0,לא,0,לא,0,no,0,no
1902634,מונושטורפאטי,"מונושטורפאטי (בהונגרית: Monostorapáti) הוא כפר קטן במחוז וספרם שבמרכז הונגריה.
==יהודי מונושטורפאטי==
במונושטורפאטי חיו יהודים בתקופות זמן שונות.",וספרם,מדינה,הונגריה,1,וספרם מדינה הונגריה,המיקום של וספרם הוא במדינת הונגריה,וספרם הוא ספרה של הונגריה.,1,כן,1,כן,1,yes,1,yes
735219,Paper Monsters,"Paper Monsters הוא אלבום הסולו הראשון שהוציא דייב גהאן, סולן להקת דפש מוד, בשנת 2003.
דייב גהאן יצא לסיבוב הופעות לקידום האלבום שנקרא Live Monsters.
האלבום הגיע למקומות 36 ו-127 במצעדי האלבומים בבריטניה וארצות הברית (בהתאמה).
== רשימת השירים ==
== מצעדים ==
== סינגלים ==
== קישורים חיצוניים ==
* האתר הרשמי של דייב גהאן
קטגוריה:אלבומי בכורה מ-2003",ארצות הברית,יחסים דיפלומטיים,בריטניה,0,ארצות הברית יחסים דיפלומטיים בריטניה,יש יחסים דיפלומטיים בין ארצות הברית ל-בריטניה,ארצות הברית מנהלת יחסים דיפלומטיים עם בריטניה.,0,לא,0,לא,0,no,0,no
487599,ארדש (מחוז),"ארדש (בצרפתית: Ardèche) הוא מחוז בצרפת הנקרא על שמו של הנהר ארדש החוצה אותו ממזרח למערב.
המחוז שוכן בחבל הארץ אוברן-רון-אלפ ועיר הבירה שלו היא פריווה (Privas).
מערת שובה, המפורסמת בשל ציורי מערות עתיקים, נמצאת במחוז.
== קישורים חיצוניים ==
* אתר המועצה הכללית",ארדש,מדינה,צרפת,1,ארדש מדינה צרפת,המיקום של ארדש הוא במדינת צרפת,ארדש הוא עיר בצרפת.,1,כן,1,כן,1,yes,1,yes
1956385,שמרון (דמות מקראית),"שִׁמְרֽוֹן (בכתיב מלא: שימרון) הוא דמות מקראית, בנו הרביעי והאחרון של יששכר ונכדם של יעקב ושל לאה. לשמרון היו שלושה אחים: תולע, פוה או פואה וישוב או ישיב או יוב. למשפחתו של שמרון קראו משפחת השמרוני.
יש מעט מן החוקרים הסוברים שליששכר כלל לא היה בן שמרון, אלא זה שם של ישוב בשם שמרון. ואין זה היישוב שבנחלת זבולון אלא שבנחלת יששכר. דעה זאת מאוד קיצונית ולא מקובלת.
== הערות שוליים ==
קטגוריה:שבט יששכר",יעקב,צאצא,יששכר,1,יעקב צאצא יששכר,יששכר הוא צאצא של יעקב,יעקב הוא אביו של יששכר.,1,כן,1,כן,1,yes,1,yes
1697910,אורמושבאניה,"אורמושבאניה (בהונגרית: Ormosbánya) הוא כפר במחוז בורשוד-אבאוי-זמפלן שבצפון מזרח הונגריה. הכפר הוקם ככפר נפרד מאיז'ופלווה בשנת 1993. אוכלוסיית אורמושבאניה קטנה משמעותית מ-1,809 תושבים בשנת 1993 עד 1,513 תושבים בשנת 2018 (ירידה של 296 תושבים).",אורמושבאניה,מדינה,הונגריה,1,אורמושבאניה מדינה הונגריה,המיקום של אורמושבאניה הוא במדינת הונגריה,אורמושבאניה היא עיר בהונגריה.,1,כן,1,כן,1,yes,1,yes
1681807,בורשודנאדשד,"בורשודנאדשד (בהונגרית: Borsodnádasd) היא עיר במחוז בורשוד-אבאוי-זמפלן שבצפון מזרח הונגריה דרומית לעיר אוזד. 
==קהילה יהודית==
בעיר חיה קהילה יהודית והיה בה בית קברות יהודי שנהרס. תושבים יהודיים מהכפר נרצחו בשואה ומונצחים באנדרטה באוזד",בורשוד-אבאוי-זמפלן,מדינה,הונגריה,1,בורשוד-אבאוי-זמפלן מדינה הונגריה,המיקום של בורשוד-אבאוי-זמפלן הוא במדינת הונגריה,בורשוד-אבאוי-זמפלן היא מחוז בהונגריה.,1,כן,1,כן,1,yes,1,yes
1088812,TUIfly נורדיק,"TUIfly נורדיק (באנגלית: TUIfly Nordic) היא חברה לטיסות שכר המבוססת בסטוקהולם, שוודיה. החברה מפעילה טיסות שכר משדות תעופה בדנמרק, פינלנד, נורווגיה ושוודיה, ליעדי פנאי ונופש באגן הים התיכון, והאיים הקנריים.
==צי המטוסים==
צי המטוסים של החברה נכון לדצמבר 2018:
== קישורים חיצוניים == 
 מדיה וקבצים בנושא TUIfly נורדיק באתר Airliners.net",TUIfly נורדיק,מדינה,שוודיה,1,TUIfly נורדיק מדינה שוודיה,המיקום של TUIfly נורדיק הוא במדינת שוודיה,TUIfly נורדיק פועלת בשוודיה.,1,כן,1,כן,1,yes,1,yes
1803447,ילד טוב ילד רע,"ילד טוב ילד רע הוא אלבום האולפן השני של הזמר הישראלי עומר אדם. האלבום יצא לאור ב-30 בינואר 2012 על ידי חברת התקליטים NMC.
== רשימת רצועות ==
== הערות שוליים ==",עומר אדם,עיסוק,זמר,1,עומר אדם עיסוק זמר,העיסוק של עומר אדם הוא זמר,עומר אדם הוא זמר.,1,כן,1,כן,1,yes,1,yes
1913742,מחוז מאצ'בה,"מאצ'בה (בסרבית: Мачвански округ) הוא אחד ממחוזות סרביה הממוקם במערב המדינה. בירת המחוז היא שאבאץ. במחוז ישנן שתי ערים, מספר עיירות, ומאות כפרים.
== קישורים חיצוניים ==",מאצ'בה,מופע של,מחוזות סרביה,1,מאצ'בה מופע של מחוזות סרביה,מאצ'בה הוא סוג של מחוזות סרביה,מאצ'בה היא מופע של מחוזות סרביה.,1,כן,1,כן,1,yes,1,yes
1919851,מגדל האמנות מיטו,"מגדל האמנות מיטו (ביפנית: 戸 芸 術 館, מיטו גייג'וצוקאן) הוא מתחם אומנויות במיטו, איבראקי, יפן. הוא נפתח בשנת 1990 במסגרת חגיגות המאה של עיריית מיטו. הוא כולל אולם קונצרטים שיש בו 680 מקומות, תיאטרון עד 636 מקומות, גלריה לאמנות עכשווית ומגדל בולט. אראטה איזוזאקי היה האדריכל, בעיצוב אקוסטי של נגאטה אקוסטיקה.",מיטו,בירה של,איבראקי,0,מיטו בירה של איבראקי,מיטו היא הבירה של איבראקי,מיטו היא בירת מחוז איבראקי.,0,לא,0,לא,0,no,0,no
679635,הבשורה (טיציאן),"הבשורה (באיטלקית: Annunciazione) היא יצירה מעשה ידי האמן האיטלקי מתקופת הרנסאנס טיציאן, שצוירה בין השנים 1559–1564. היצירה מוצגת כיום בכנסיית סן סלבדור בוונציה שבאיטליה.
היצירה רחבת הממדים מתארת את הבשורה למרים. מרים ניצבת בימין התמונה, ואילו המלאך המבשר לה על הולדת ישו, ניצב משמאלה. המלאך, הגבוה ממרים מושך את מבטו של הצופה ליונה המסמלת את רוח הקודש במרכזה של היצירה. מסביב ליונה מתוארים כרובים רוקדים רבים העפים בשמים.",הבשורה (טיציאן),נושא היצירה,הבשורה למרים,1,הבשורה (טיציאן) נושא היצירה הבשורה למרים,הנושא של הבשורה (טיציאן) הוא הבשורה למרים,הבשורה של טיציאן מתארת את הבשורה למרים.,1,כן,1,כן,1,yes,1,yes
806004,אנ-מן-לו-אנה,"אנ-מן-לו-אנה מבאד-טיבירה היה מלך מיתולוגי של שומר. בתקופת שלטונו, המרכז השלטוני עבר מארידו לבאד-טיבירה. לפי רשימת המלכים השומרית, שלט בתקופה טרום-שושלתית והיה המלך השלישי ברשימה. לפי הרשימה שלט במשך 43,200 שנים.",באד-טיבירה,מייסד,אנ-מן-לו-אנה,0,באד-טיבירה מייסד אנ-מן-לו-אנה,המייסד של באד-טיבירה הוא אנ-מן-לו-אנה,באד-טיבירה היה מייסד אנ-מן-לו-אנה.,0,לא,0,לא,0,no,0,no
1471268,פרס לב,"פרס לב הוא פרס למפעל חיים בתחום של תורה עם דרך ארץ, המוענק על ידי המרכז האקדמי לב לזכרו של מייסד המכון זאב לב. הפרס מוענק מדי שלוש שנים.
== חתני הפרס ==
* 2005: פרופ' יחיאל דומב
* 2008: הרב ישראל רוזן
* 2011: הרב ד""ר אליהו רחמים זייני
* 2014: פרופ' ישראל אומן
* 2017: פרופ' עלי מרצבך",פרס לב,מוענק על ידי,המרכז האקדמי לב,1,פרס לב מוענק על ידי המרכז האקדמי לב,פרס לב מוענק על ידי המרכז האקדמי לב,פרס לב מוענק על ידי המרכז האקדמי לב.,1,כן,1,כן,1,yes,1,yes
2063834,בייאואולו,"בייאואולו (בטורקית: Beyoğlu) הוא רובע הממוקם בחלק האירופי של העיר איסטנבול שבטורקיה, מצפון לקרן הזהב וממול העיר העתיקה של איסטנבול (חצי האי ההיסטורי של קונסטנטינופול). בימי הביניים ועד למאה ה-20 נודע בשם פֶּרָה (Πέρα, ביוונית: מֵעֵבֶר ל-).
רובע בייאואולו הוא מרכז האמנות, הבידור וחיי הלילה הפעיל ביותר באיסטנבול.
מפת קונסטנטינופול משנת [[1422]], לפני נפילתה בידי ה[[האימפריה העות'מאנית|עות'מאנים]]
== גלריית תמונות ==",איסטנבול,מדינה,טורקיה,1,איסטנבול מדינה טורקיה,המיקום של איסטנבול הוא במדינת טורקיה,איסטנבול היא עיר בטורקיה.,1,כן,1,כן,1,yes,1,yes
1992371,תחנת תיאטרלנאיה,"תחנת תיאטרלנאיה (ברוסית: Театральная) היא תחנת הרכבת התחתית של מוסקבה בקו זמוסקבורצקאיה.
התחנה ממוקמת ברובע טברסקוי, ליד תיאטרון בולשוי ותיאטרון מאלי.
התחנת נפתחה ב-11 בספטמבר 1938 ונקראה ""פלושצ'אד סברדלובה"" (בתרגום מרוסית: כיכר על שם סברדלוב). בשנת 1990, בעקבות שינוי שם הכיכר לכיכר תיאטרלנאיה, שונה גם שם התחנה לתיאטרלנאיה.
התחנה מקושרת במעבר עם תחנת אוחוטני ריאד של קו סוקולניצ'סקאיה, ותחנת פלושאד רבוליוציי של קו ארבטסקו פוקרובסקאיה.
== גלריה ==",תחנת תיאטרלנאיה,מערכת תחבורה,הרכבת התחתית של מוסקבה,1,תחנת תיאטרלנאיה מערכת תחבורה הרכבת התחתית של מוסקבה,תחנת תיאטרלנאיה היא חלק ממערכת התחבורה הרכבת התחתית של מוסקבה,תחנת תיאטרלנאיה היא חלק ממערכת הרכבת התחתית של מוסקבה.,1,כן,1,כן,1,yes,1,yes
1223007,ארגוטליס,"ארגוטליס (ביוונית: ΠΑΕ Εργοτέλης) היא קבוצת כדורגל יוונית, המייצגת את העיר הרקליון. הקבוצה משחקת בליגת המשנה היוונית.
הקבוצה נוסדה בשנת 1929. לקבוצה תואר אחד כאשר זכתה בגביע החובבים בשנת . אחרי שנים בליגות הנמוכות, בשנת עלה המועדון לראשונה בתולדותיו לליגת העל היוונית וירדה ממנה לאחר עונת 2012.",ארגוטליס,מופע של,קבוצת כדורגל,1,ארגוטליס מופע של קבוצת כדורגל,ארגוטליס הוא סוג של קבוצת כדורגל,ארגוטליס היא קבוצת כדורגל.,1,כן,1,כן,1,yes,1,yes
1745710,אנשה,"אנשה (בהונגרית: Enese) הוא כפר במחוז גיור-מושון-שופרון שבצפון-מערב הונגריה.
באנשה חיו מעט יהודים.",הונגריה,חלוקה משנית,גיור-מושון-שופרון,1,הונגריה חלוקה משנית גיור-מושון-שופרון,גיור-מושון-שופרון הוא חלוקה משנית של הונגריה,גיור-מושון-שופרון היא מחוז בהונגריה.,1,כן,1,כן,1,yes,1,yes
1918560,בקונשאג,"בקונשאג (בהונגרית: Bakonyság) הוא כפר במחוז וספרם שבמרכז הונגריה.
כמו יישובים רבים בהונגריה כמו : אפלן ואמביי בבקונשאג מספר התושבים נמצא בירידה. כך, בשנת 1990 היה מספר התושבים 114 ובשנת 2020 רק 50 תושבים.
שם הכפר מגיע מהונגרית עתיקה בה משמעות השם הוא ""גבעה"".
==יהודי בקונשאג==
בבקונשאג חיו יהודים בתקופות זמן שונות. חלק מילידי הכפר נרצחו בשואה.",בקונשאג,מדינה,הונגריה,1,בקונשאג מדינה הונגריה,המיקום של בקונשאג הוא במדינת הונגריה,בקונשאג היא עיר בהונגריה.,1,כן,1,כן,1,yes,1,yes
1747301,משרד החוץ של בלארוס,"ממוזער|200px|דגל המשרד
משרד החוץ של בלארוס (בבלארוסית: Міністэрства замежных спраў Рэспублікі Беларусь) הוא משרד בממשלת בלארוס המפקח על קשרי החוץ של בלארוס. 
שר החוץ הנוכחי הוא סרגיי אלניק, מאז 2022.
== שרי חוץ ==
* פיוטר קראוצ'נקה (1990–1994)
* אולדזימיר סיאנקו (1994–1997)
* איוואן אנטונוביץ' (1997–1998)
* אוראל לטיפאו (1998–2000)
* מיכאיל חבוסטוב (2000–2003)
* סרהיי מרטינאו (2003–2012)
* אולדזימיר מאקיי (2012–2022)
== קישורים חיצוניים ==
בלארוס
קטגוריה:בלארוס: יחסי חוץ",בלארוסית,מדינה,בלארוס,0,בלארוסית מדינה בלארוס,המיקום של בלארוסית הוא במדינת בלארוס,בלארוסית היא שפה המדוברת בבלארוס.,0,לא,0,לא,1,yes,1,yes
945285,אייפוד שאפל,"iPod Shuffle (אייפוד שאפל) הוא נגן מוזיקה שנוצר ועוצב על ידי אפל. האייפוד שאפל הוא מודל האייפוד הקטן ביותר של חברת אפל והראשון המבוסס על זיכרון פלאש. הדור הראשון של האייפוד שאפל הוצג לראשונה בכנס MacWorld ב-11 בינואר 2005. דגמי הדור הרביעי והאחרון הוכרזו ב-1 בספטמבר 2011. התמיכה באייפוד שאפל הופסקה על ידי חברת אפל ב-27 ביולי 2017.
== דורות ==",אייפוד שאפל,יצרן,אפל,1,אייפוד שאפל יצרן אפל,היצרן של אייפוד שאפל הוא אפל,אפל יצרה את האייפוד.,1,כן,1,כן,1,yes,1,yes
